,year_month,accumulate_basinp,accumulate_riop,accumulate_simao,accumulate_emborcacao,accumulate_itumbiara,accumulate_corumba,accumulate_corumba1,accumulate_corumba3,accumulate_corumba4,Paranaiba_total
214,201804,69.11,123.62,106.66,103.83,111.71,127.43,126.58,143.33,105.45,1017.72
215,201805,19.03,20.76,17.0,15.55,21.35,6.78,9.03,14.75,27.7,151.95
216,201806,0.69,4.41,0.2,4.09,0.55,0.53,0.32,0.05,0.03,10.870000000000001
217,201807,0.0,2.99,0.01,1.16,0.07,0.0,0.0,0.0,0.0,4.23
218,201808,11.91,2.72,12.12,20.36,17.5,6.56,10.29,21.19,21.18,123.83000000000001
219,201809,105.28,8.07,56.22,60.89,54.64,50.24,52.71,48.74,33.49,470.28
220,201810,170.08,44.18,171.03,163.29,168.73,150.38,153.36,175.61,193.23,1389.89
221,201811,303.75,42.49,286.85,344.27,352.41,345.2,332.59,275.6,263.41,2546.5699999999997
222,201812,122.77,145.59,161.78,195.75,197.06,146.51,163.83,195.48,190.21,1518.98
223,201901,146.04,79.13,136.62,72.69,108.77,116.07,94.06,90.68,82.64,926.6999999999999
224,201902,181.64,178.43,218.63,191.73,228.47,166.18,166.13,149.37,167.97,1648.55
225,201903,155.56,187.18,171.67,193.17,171.09,175.43,167.67,240.13,226.13,1688.0300000000002
226,201904,128.34,164.97,123.21,86.46,92.06,119.23,91.07,68.61,141.01,1014.9599999999999
227,201905,61.04,64.45,41.04,58.33,38.86,65.22,49.42,28.67,54.18,461.2100000000001
228,201906,2.64,6.56,0.45,2.45,1.7,0.02,0.9,2.01,1.04,17.769999999999996
229,201907,2.57,8.45,0.75,3.66,0.67,0.16,0.23,0.65,1.27,18.41
230,201908,26.53,0.88,3.93,3.15,4.96,0.57,0.0,0.0,0.05,40.07
231,201909,33.88,3.23,27.41,20.36,43.79,23.18,12.35,6.72,5.93,176.85
232,201910,104.86,19.22,80.25,61.01,92.02,76.01,67.03,62.63,70.17,633.1999999999999
233,201911,190.87,23.36,198.62,151.21,165.99,186.69,159.94,163.67,128.14,1368.4900000000002
234,201912,258.19,31.78,273.37,274.48,278.04,273.66,241.42,219.99,233.4,2084.3300000000004
235,202001,200.08,163.66,302.18,352.16,368.76,287.74,298.19,328.33,354.21,2655.3100000000004
236,202002,262.32,165.29,316.22,328.15,359.01,336.82,309.43,244.72,323.05,2645.0099999999998
237,202003,114.2,260.2,127.06,211.88,139.13,98.52,161.66,212.7,248.11,1573.46
238,202004,46.39,131.02,68.55,98.11,47.62,51.97,121.59,130.45,145.49,841.19
239,202005,30.47,41.93,27.75,34.96,30.84,13.8,17.68,39.52,16.51,253.46000000000004
240,202006,4.49,17.7,0.3,1.18,1.32,0.17,0.45,0.03,0.04,25.68
241,202007,1.0,2.05,2.66,0.81,3.71,0.06,0.02,0.01,0.03,10.35
242,202008,2.23,1.45,1.57,0.88,1.42,0.07,0.0,0.03,0.0,7.65
243,202009,13.02,2.33,11.51,9.11,11.27,5.84,11.95,28.12,29.05,122.2
244,202010,105.19,19.33,95.27,110.61,94.09,127.33,147.31,168.11,147.8,1015.0400000000002
245,202011,63.3,109.0,114.72,113.66,111.29,137.64,142.9,147.6,172.39,1112.5
246,202012,246.16,36.8,253.04,282.34,328.7,274.34,182.36,207.09,185.45,1996.2799999999997
