Date,Maximum Demand (in MW)
5/12/19,39390.246
5/13/19,43611.27
5/14/19,43785.434
5/15/19,42113.945
5/16/19,41607.508
5/17/19,41032.82
5/18/19,39936.406
5/19/19,37930.5
5/20/19,41503.684
5/21/19,42282.301
5/22/19,42905.832
5/23/19,42889.621
5/24/19,42143.391
5/25/19,40359.223
5/26/19,38674.547
5/27/19,41833.469
5/28/19,42910.262
5/29/19,43192.465
5/30/19,43544.688
5/31/19,43339.539
6/1/19,42130.941
6/2/19,39071.977
6/3/19,42226.836
6/4/19,41718.461
6/5/19,41138.668
6/6/19,41317.395
6/7/19,41525.512
6/8/19,40859.898
6/9/19,38235.133
6/10/19,41544.27
6/11/19,42452.44
6/12/19,43067.699
6/13/19,43218.789
6/14/19,43226.086
6/15/19,42243.031
6/16/19,38808.316
6/17/19,41955.605
6/18/19,43019.188
6/19/19,42762.371
6/20/19,40311.176
