Data Escala de Tempo 1 GE Simp 4,cod_aneel (tb_referenciacegusina (Usina)),cod_nucleoaneel (tb_referenciacegusina (Usina)),Data Dica,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina2,Período Exibido GE,Selecione Tipo de GE Simp 4
4/17/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,17/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.2213
4/18/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,18/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.2188
4/19/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,19/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.2778
4/20/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,20/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.2723
4/21/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,21/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.1711
4/22/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,22/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.1906
4/23/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,23/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.4827
4/24/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,24/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.0404
4/25/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,25/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.8009
4/26/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,26/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.0592
4/27/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,27/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.7066
4/28/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,28/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.669
4/29/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,29/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.6957
4/30/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,30/4/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.6995
5/1/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,1/5/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,1.3492
