date,date,year,month,furnas,marimbondo,paraibuna,solteira,itaipu,sao_simao,emborcacao,s_do_facao,batalha,itumbiara,nova_ponte,chavantes,tres_marias,tres_irmaos,b_bonita,serra_da_mesa
2010-05-01,2010-05-01,2010,5,28.47,14.05,30.37,16.16,81.83,11.37,15.35,15.35,15.35,20.87,20.87,35.92,41.83,21.86,21.86,8.09
2010-06-01,2010-06-01,2010,6,10.46,12.43,34.26,7.86,16.62,8.35,10.53,10.53,10.53,12.35,12.35,27.99,5.12,14.8,14.8,4.0
2010-07-01,2010-07-01,2010,7,21.73,11.65,79.63,1.3,48.86,4.63,4.16,4.16,4.16,3.38,3.38,66.9,1.83,36.98,36.98,3.27
2010-08-01,2010-08-01,2010,8,0.58,0.75,5.51,1.89,8.31,0.12,0.0,0.0,0.0,0.03,0.03,39.76,0.08,3.19,3.19,0.1
2010-09-01,2010-09-01,2010,9,63.88,61.15,72.59,73.95,170.62,16.92,28.89,28.89,28.89,41.99,41.99,70.71,39.32,81.08,81.08,11.28
2010-10-01,2010-10-01,2010,10,116.03,79.19,62.29,86.49,121.07,108.61,93.65,93.65,93.65,120.93,120.93,159.69,103.94,79.91,79.91,137.51
2010-11-01,2010-11-01,2010,11,201.78,150.07,89.01,98.96,128.09,193.49,240.6,240.6,240.6,247.26,247.26,45.98,244.95,62.26,62.26,268.96
2010-12-01,2010-12-01,2010,12,279.95,193.93,236.51,130.04,197.72,218.0,212.68,212.68,212.68,232.5,232.5,215.78,272.7,179.57,179.57,277.38
2011-01-01,2011-01-01,2011,1,363.16,264.01,269.83,327.18,192.04,224.07,266.56,266.56,266.56,253.03,253.03,235.3,208.76,322.83,322.83,162.67
2011-02-01,2011-02-01,2011,2,91.46,121.66,174.9,260.15,208.1,190.35,77.06,77.06,77.06,144.23,144.23,170.35,76.29,163.92,163.92,117.69
2011-03-01,2011-03-01,2011,3,255.67,282.46,271.84,374.87,184.86,356.29,346.0,346.0,346.0,376.2,376.2,86.46,330.24,178.44,178.44,189.89
2011-04-01,2011-04-01,2011,4,72.27,127.76,128.61,107.77,99.98,81.65,68.91,68.91,68.91,129.82,129.82,83.96,93.12,86.69,86.69,51.73
2011-05-01,2011-05-01,2011,5,12.23,7.34,29.52,16.36,11.91,1.72,4.0,4.0,4.0,1.84,1.84,7.67,5.25,12.6,12.6,19.5
2011-06-01,2011-06-01,2011,6,23.69,33.18,28.13,45.63,50.65,32.85,10.18,10.18,10.18,18.44,18.44,84.81,14.72,38.47,38.47,16.95
2011-07-01,2011-07-01,2011,7,0.77,0.27,1.88,1.18,61.18,0.18,0.18,0.18,0.18,0.1,0.1,48.12,0.14,3.84,3.84,0.15
2011-08-01,2011-08-01,2011,8,8.79,14.0,17.41,13.39,78.88,2.59,0.64,0.64,0.64,1.17,1.17,84.22,0.55,16.02,16.02,0.18
2011-09-01,2011-09-01,2011,9,4.94,9.64,17.17,11.69,36.2,5.9,3.27,3.27,3.27,10.16,10.16,6.4,2.63,11.88,11.88,3.33
2011-10-01,2011-10-01,2011,10,119.74,174.35,128.15,104.84,174.26,170.22,188.57,188.57,188.57,160.08,160.08,295.45,145.8,143.13,143.13,185.57
2011-11-01,2011-11-01,2011,11,135.78,141.07,136.24,119.17,125.83,129.07,98.69,98.69,98.69,115.53,115.53,113.12,156.8,103.39,103.39,237.03
2011-12-01,2011-12-01,2011,12,249.02,193.99,115.23,129.01,77.69,211.29,300.23,300.23,300.23,275.12,275.12,89.28,365.01,115.79,115.79,253.8
2012-01-01,2012-01-01,2012,1,312.23,332.06,284.32,306.08,179.26,246.83,289.9,289.9,289.9,336.3,336.3,189.13,271.38,246.82,246.82,298.4
2012-02-01,2012-02-01,2012,2,86.67,99.19,85.68,69.33,99.08,166.38,122.56,122.56,122.56,102.94,102.94,122.84,65.5,104.15,104.15,134.46
2012-03-01,2012-03-01,2012,3,119.31,90.97,140.84,86.35,83.48,120.86,126.81,126.81,126.81,140.85,140.85,77.05,127.2,58.55,58.55,143.05
2012-04-01,2012-04-01,2012,4,62.87,81.87,60.35,78.88,133.6,64.24,47.78,47.78,47.78,80.1,80.1,105.51,50.45,79.34,79.34,53.29
2012-05-01,2012-05-01,2012,5,55.26,57.27,61.78,59.29,87.41,29.68,29.31,29.31,29.31,38.95,38.95,40.02,34.44,65.72,65.72,14.89
2012-06-01,2012-06-01,2012,6,94.96,105.32,91.29,139.09,198.4,49.61,55.17,55.17,55.17,56.75,56.75,256.06,52.72,157.13,157.13,16.97
2012-07-01,2012-07-01,2012,7,22.51,28.63,48.13,8.6,28.24,4.71,4.39,4.39,4.39,8.07,8.07,73.41,1.49,28.67,28.67,16.86
2012-08-01,2012-08-01,2012,8,5.36,0.4,7.38,0.0,4.79,0.32,0.21,0.21,0.21,0.24,0.24,9.32,1.11,0.53,0.53,0.66
2012-09-01,2012-09-01,2012,9,39.35,51.31,17.52,73.44,75.37,52.15,43.17,43.17,43.17,35.49,35.49,64.4,24.67,65.12,65.12,17.75
2012-10-01,2012-10-01,2012,10,55.65,72.29,76.59,37.64,111.46,52.84,64.07,64.07,64.07,74.15,74.15,105.05,39.33,76.37,76.37,64.98
2012-11-01,2012-11-01,2012,11,159.54,160.81,113.5,136.97,100.14,199.11,264.05,264.05,264.05,202.26,202.26,73.63,240.17,104.6,104.6,281.43
2012-12-01,2012-12-01,2012,12,192.07,182.01,240.2,204.89,149.66,169.79,145.26,145.26,145.26,135.26,135.26,175.94,107.91,228.14,228.14,157.17
2013-01-01,2013-01-01,2013,1,288.94,269.12,240.14,206.03,119.77,267.48,303.62,303.62,303.62,284.29,284.29,124.22,255.74,226.83,226.83,348.64
2013-02-01,2013-02-01,2013,2,142.15,172.87,208.33,211.74,183.38,154.98,96.82,96.82,96.82,120.58,120.58,242.3,65.47,187.97,187.97,130.86
2013-03-01,2013-03-01,2013,3,175.57,205.12,191.44,203.63,171.64,211.11,194.93,194.93,194.93,234.98,234.98,146.48,166.77,183.63,183.63,190.94
2013-04-01,2013-04-01,2013,4,61.27,99.53,63.99,53.87,116.74,91.61,102.55,102.55,102.55,109.56,109.56,146.26,92.08,88.75,88.75,65.36
2013-05-01,2013-05-01,2013,5,57.83,98.49,47.43,34.29,92.89,33.5,37.25,37.25,37.25,75.37,75.37,114.08,52.81,82.63,82.63,28.56
2013-06-01,2013-06-01,2013,6,29.07,40.91,27.52,105.48,194.95,17.72,18.47,18.47,18.47,13.69,13.69,235.59,21.91,78.2,78.2,21.23
2013-07-01,2013-07-01,2013,7,39.79,25.63,69.12,23.31,41.14,1.74,3.52,3.52,3.52,1.52,1.52,109.66,3.91,40.95,40.95,0.65
2013-08-01,2013-08-01,2013,8,5.69,6.14,10.3,0.33,6.51,0.33,1.56,1.56,1.56,4.79,4.79,8.08,3.04,3.77,3.77,3.07
2013-09-01,2013-09-01,2013,9,60.24,60.67,39.26,48.81,76.54,24.77,30.71,30.71,30.71,21.64,21.64,100.88,43.02,53.24,53.24,25.8
2013-10-01,2013-10-01,2013,10,96.31,124.89,139.29,92.36,148.65,90.71,131.5,131.5,131.5,133.21,133.21,135.55,82.45,115.18,115.18,127.6
2013-11-01,2013-11-01,2013,11,169.75,162.74,165.96,99.8,102.54,188.4,162.33,162.33,162.33,156.25,156.25,94.64,130.02,113.63,113.63,183.27
