,year_month,accumulate_riogrande,accumulate_pardo,accumulate_vermelha,accumulate_caconde,accumulate_furnas,accumulate_marimbondo,accumulate_mascarenha,accumulate_camargos,Grande_total
218,201808,29.75,45.31,34.06,65.81,71.58,48.92,52.6,52.04,400.07000000000005
219,201809,104.31,67.7,80.32,74.55,76.15,65.06,58.51,60.98,587.58
220,201810,148.82,207.69,151.74,156.01,177.56,166.25,192.52,117.81,1318.3999999999999
221,201811,248.99,204.95,256.84,137.57,202.14,246.09,249.33,193.88,1739.7899999999995
222,201812,122.78,142.02,144.39,112.44,215.86,135.51,151.47,184.52,1208.99
223,201901,148.17,99.63,82.98,124.08,110.05,108.44,70.82,78.2,822.3699999999999
224,201902,213.52,201.29,244.02,142.41,192.34,211.23,201.09,132.37,1538.27
225,201903,98.95,171.76,108.31,179.62,166.99,177.22,204.34,131.02,1238.21
226,201904,110.51,168.62,127.47,187.13,107.01,147.73,114.66,60.95,1024.08
227,201905,23.08,35.32,17.82,89.01,50.84,28.98,77.7,29.5,352.25
228,201906,12.31,7.44,9.19,5.43,8.64,7.75,4.49,13.72,68.97
229,201907,6.77,18.34,8.13,29.77,16.97,14.68,7.21,14.53,116.39999999999999
230,201908,50.38,17.12,17.99,15.18,16.4,16.18,16.4,13.41,163.06
231,201909,51.72,62.38,53.18,94.15,67.79,61.67,69.56,51.86,512.3100000000001
232,201910,62.54,76.69,69.33,75.26,61.64,70.14,96.77,88.41,600.78
233,201911,190.79,190.76,151.63,148.71,187.53,161.54,265.16,134.17,1430.2900000000002
234,201912,196.16,133.51,274.08,173.6,176.5,202.89,151.02,161.15,1468.91
235,202001,165.84,260.86,253.0,178.13,204.87,270.04,231.19,181.19,1745.1200000000001
236,202002,233.99,270.86,259.73,424.85,402.84,274.88,348.83,332.75,2548.73
237,202003,71.16,93.73,73.49,111.56,107.19,96.72,99.19,141.74,794.78
238,202004,33.66,21.61,33.91,10.22,26.36,20.06,38.19,24.49,208.5
239,202005,21.2,12.51,21.52,14.81,25.53,22.56,27.79,18.19,164.11
240,202006,6.93,23.75,7.53,26.63,17.24,13.84,3.98,17.73,117.63000000000001
241,202007,5.57,0.28,5.17,1.7,3.75,0.99,0.61,2.9,20.969999999999995
242,202008,3.37,4.21,5.49,10.09,16.44,7.96,7.01,17.49,72.06
243,202009,4.84,20.39,7.17,49.5,34.47,13.2,4.9,42.86,177.32999999999998
244,202010,74.29,80.85,77.52,50.53,50.52,60.51,64.5,62.15,520.8699999999999
245,202011,54.59,96.92,84.69,80.9,136.0,94.64,99.07,177.07,823.8799999999999
246,202012,126.99,305.05,185.22,442.54,317.28,261.17,294.41,343.01,2275.67
