Date,Max_Demand
10/4/01,26439.9
10/5/01,26174.9
10/6/01,26283.5
10/7/01,23683.3
10/8/01,25392.6
10/9/01,25928.9
10/10/01,26534
10/11/01,25846.9
10/12/01,24468.1
10/13/01,25467.3
10/14/01,23647.8
10/15/01,24961.8
10/16/01,25432.7
10/17/01,25148.7
10/18/01,25317.6
10/19/01,25211.7
10/20/01,25250.9
10/21/01,22897.1
10/22/01,24479.2
10/23/01,24835.2
10/24/01,25173.2
10/25/01,25333.1
10/26/01,25509.4
10/27/01,25529
10/28/01,23190
10/29/01,25423.8
10/30/01,25707.6
10/31/01,25334.5
11/1/01,24879.3
11/2/01,23476.6
11/3/01,24506
11/4/01,22114.3
11/5/01,24736.7
11/6/01,25456.5
11/7/01,25737.7
11/8/01,25611.5
11/9/01,25501.6
11/10/01,25601.3
11/11/01,23223.3
11/12/01,24982.9
11/13/01,24922.3
11/14/01,25747.2
11/15/01,24944.7
11/16/01,24836.1
11/17/01,24461.7
11/18/01,23151.6
11/19/01,25428.1
11/20/01,25478.2
11/21/01,25602.6
11/22/01,26006.1
11/23/01,25937.2
11/24/01,25842.1
11/25/01,24028.7
11/26/01,26286.7
11/27/01,26362
11/28/01,26101.6
11/29/01,26291.4
11/30/01,25788.1
12/1/01,25194.8
12/2/01,23527.2
12/3/01,25908.8
12/4/01,25986.8
12/5/01,26735.8
12/6/01,26550.5
12/7/01,26284
12/8/01,25984.4
12/9/01,24500.2
12/10/01,26249.6
12/11/01,26381.3
12/12/01,26826.7
12/13/01,26507.4
12/14/01,26185.6
12/15/01,25492.6
12/16/01,23424.4
12/17/01,26225.7
12/18/01,26370.5
12/19/01,26324.7
12/20/01,26053.5
12/21/01,25673.6
12/22/01,25418.6
12/23/01,23529.6
12/24/01,23140.6
12/25/01,20938
12/26/01,24354.8
12/27/01,24728.6
12/28/01,24565.7
12/29/01,24431.8
12/30/01,22984
12/31/01,24484.5
1/1/02,22162.11
1/2/02,26040.60001
1/3/02,26339.49001
1/4/02,26289.86001
1/5/02,26111.64999
1/6/02,24598.82001
1/7/02,26633.35999
1/8/02,26896.09
1/9/02,27033.09999
1/10/02,27135.65999
1/11/02,26934.04999
1/12/02,26951.34999
1/13/02,23853.56
1/14/02,26659.94
1/15/02,26779.86001
1/16/02,26552.16001
1/17/02,27220.93001
1/18/02,26991.48001
1/19/02,26209.04001
1/20/02,24394.61
1/21/02,27205.55
1/22/02,27729.05001
1/23/02,27683.95
1/24/02,27334.17999
1/25/02,26481.60001
1/26/02,27287.49
1/27/02,25156.56999
1/28/02,27851.86
1/29/02,28121.07001
1/30/02,27993.33
1/31/02,28008.89001
2/1/02,27421.43001
2/2/02,27140.80999
2/3/02,24475.06
2/4/02,27358.10999
2/5/02,27616.96001
2/6/02,27772.47999
2/7/02,27738.55999
2/8/02,27477.13
2/9/02,26512.1
2/10/02,25153.04999
2/11/02,25600.13
2/12/02,26447.42
2/13/02,27199.47999
2/14/02,27798.95999
2/15/02,27940.55
2/16/02,27681.13999
2/17/02,25558.95
2/18/02,28235.80999
2/19/02,28840.69001
2/20/02,29123.5
2/21/02,29680.51
2/22/02,29682.68999
2/23/02,29103.33
2/24/02,25867.01999
2/25/02,28754.51
2/26/02,29409.75999
2/27/02,29429.52001
2/28/02,29355.46
3/1/02,29901.36
3/2/02,29099.24
3/3/02,26733.02
3/4/02,29480.59999
3/5/02,30285.03
3/6/02,30058.79
3/7/02,30355.82999
3/8/02,29999.79001
3/9/02,29835.44999
3/10/02,27143.39999
3/11/02,30351.19
3/12/02,30704.54999
3/13/02,30953.35001
3/14/02,30940.63999
3/15/02,30156.25001
3/16/02,30167.90999
3/17/02,27774.35001
3/18/02,30191.57
3/19/02,30972.24999
3/20/02,31232.26001
3/21/02,30239.59001
3/22/02,29920.83
3/23/02,30079.64999
3/24/02,27239.01
3/25/02,30326.44999
3/26/02,30730.47001
3/27/02,30800.40001
3/28/02,30642.47001
3/29/02,26886.57001
3/30/02,29366.84001
3/31/02,27234.67001
4/1/02,30927.54001
4/2/02,31659.34999
4/3/02,31257.16
4/4/02,31111.34999
4/5/02,30579.22999
4/6/02,30097.31001
4/7/02,27369.41999
4/8/02,30504.72
4/9/02,31217.03001
4/10/02,31460.65001
4/11/02,31637.33999
4/12/02,31665.49001
4/13/02,30659.92
4/14/02,28166.30001
4/15/02,31469.44
4/16/02,31849.67
4/17/02,31594.54001
4/18/02,32352.35001
4/19/02,32220.00001
4/20/02,31299.02
4/21/02,28840.50999
4/22/02,31766.06
4/23/02,31820.30001
4/24/02,32384.19
4/25/02,32356.55001
4/26/02,31969.43
4/27/02,31065.26999
4/28/02,28181.20999
4/29/02,31980.50999
4/30/02,32432.98
5/1/02,28866.46001
5/2/02,31984.20001
5/3/02,31392.26999
5/4/02,30363.63001
5/5/02,28573.13001
5/6/02,31823.44999
5/7/02,32155.37
5/8/02,32384.03001
5/9/02,31774.91
5/10/02,31734.98
5/11/02,30832.04
5/12/02,27990.82999
5/13/02,31586.42001
5/14/02,32051.62
5/15/02,31968.73999
5/16/02,32333.69999
5/17/02,32057.45001
5/18/02,31524.90001
5/19/02,27598.39
5/20/02,31646.82999
5/21/02,31625.69999
5/22/02,30965.95999
5/23/02,31204.18999
5/24/02,30854.30001
5/25/02,29984.47999
5/26/02,27683.94
5/27/02,30753.53999
5/28/02,31319.32999
5/29/02,31647.44999
5/30/02,29508.8
5/31/02,30647.43
6/1/02,30435.56999
6/2/02,28193.36
6/3/02,31465.22001
6/4/02,32038.87999
6/5/02,32294.91
