Date,Energy
7/24/19,701.7379761
7/25/19,688.9229736
7/26/19,679.21698
7/27/19,668.7689819
7/28/19,661.1500244
7/29/19,658.0570068
7/30/19,650.1030273
7/31/19,659.3729858
8/1/19,673.4680176
8/2/19,678.2609863
8/3/19,681.7189941
8/4/19,690.9219971
8/5/19,677.2119751
8/6/19,673.4320068
8/7/19,673.25
8/8/19,672.7340088
8/9/19,667.1859741
8/10/19,656.0510254
8/11/19,650.6370239
8/12/19,644.9039917
8/13/19,635.8140259
8/14/19,628.0629883
8/15/19,619.8309937
8/16/19,605.9539795
8/17/19,627.8410034
8/18/19,665.2109985
8/19/19,681.2000122
8/20/19,696.8120117
8/21/19,703.8519898
8/22/19,671.927002
8/23/19,640.1569824
8/24/19,618.4299927
8/25/19,607.0430298
8/26/19,598.1209717
8/27/19,590.4660034
8/28/19,583.6970215
8/29/19,586.7219849
8/30/19,626.9489746
8/31/19,672.2189941
9/1/19,817.5020142
9/2/19,920.7810059
9/3/19,988.5770264
9/4/19,970.9039917
9/5/19,987.6270142
9/6/19,1014.229004
9/7/19,1008.924011
9/8/19,934.6810303
9/9/19,852.3250122
9/10/19,762.7789917
9/11/19,692.9520264
9/12/19,647.8480225
9/13/19,623.0079956
9/14/19,601.3619995
9/15/19,579.9650269
9/16/19,565.1589966
9/17/19,552.6640015
9/18/19,548.2540283
9/19/19,546.7119751
9/20/19,594.2880249
9/21/19,627.7689819
9/22/19,664.2290039
9/23/19,674.6599731
9/24/19,678.0200195
9/25/19,640.8289795
9/26/19,621.9429932
9/27/19,598.6140137
9/28/19,601.0180054
9/29/19,591.5670166
9/30/19,582.3989868
10/1/19,573.1040039
10/2/19,555.6729736
10/3/19,534.5900269
10/4/19,524.3809815
10/5/19,517.0300293
10/6/19,520.8060303
